,href,text
0,https://www.sports.ru//hockey/1114228570-nxl-vashington-sygraet-s-chikago-florida-primet-kolambus-boston-ajlend.html,"НХЛ. «Вашингтон» играет с «Чикаго», «Флорида» принимает «Коламбус», «Бостон» – «Айлендерс», «Колорадо» против «Филадельфии»"
1,https://www.sports.ru//basketball/1114232426-nba-miluoki-golden-stejt-lejkers-vstretyatsya-s-bostonom-i-drugie-matc.html,"НБА. «Милуоки» – «Голден Стэйт», «Лейкерс» встретятся с «Бостоном» и другие матчи"
2,https://www.sports.ru//football/1114238456-v-irane-futbolista-amira-nasr-azadani-prigovorili-k-smertnoj-kazni-v-s.html,В Иране футболиста приговорили к смертной казни в связи с протестами. FIFPro осудила это: «Мы потрясены и призываем к немедленной отмене наказания»
3,https://www.sports.ru//football/1114244995-u-messi-20-119-ochkov-na-chm-bolshe-vsex-on-oboshel-kloze-ronaldo-gerd.html,"У Месси 20 (11+9) очков на ЧМ – больше всех. Он обошел Клозе, Роналдо, Герда Мюллера и Пеле"
4,https://www.sports.ru//football/1114244333-penalti-ubil-nas-ne-dumayu-chto-on-byl-no-argentina-xorosha-03-dobavit.html,"«Пенальти убил нас, не думаю, что он был. Но Аргентина хороша, 0:3, добавить нечего». Маер о полуфинале ЧМ-2022"
5,https://www.sports.ru//football/1114243319-lineker-o-messi-v-finale-chm-vse-eshhe-sporite-sprosite-u-velichajsheg.html,"Линекер о Месси: «Все еще спорите о величайшем?» Морган ответил: «Нет, это Роналду»"
6,https://www.sports.ru//football/1114241681-argentina-sygraet-s-francziej-ili-marokko-v-finale-chm-2022-18-dekabry.html,Аргентина сыграет с Францией или Марокко в финале ЧМ-2022 18 декабря
7,https://www.sports.ru/https://www.sports.ru/tribuna/blogs/healthy/3095692.html,Игроки то и дело выбывают в разгар сезона из-за травм суставов. Как это лечить и есть ли шансы вернуться в спорт?
8,https://www.sports.ru//football/1114235808-messi-dognal-mbappe-po-golpas-na-chm-2022-u-oboix-igrokov-po-7-ochkov.html,Месси обогнал Мбаппе по «гол+пас» на ЧМ-2022. У него 8 очков
9,https://www.sports.ru//football/1114241266-u-argentiny-s-messi-2-finala-za-3-poslednix-chm-v-2014-m-proigrali-ger.html,У Аргентины с Месси 2 финала за 3 последних ЧМ. В 2014-м проиграли Германии
10,https://www.sports.ru//football/1114217775-chm-2022-1-2-finala-argentina-protiv-xorvatii-onlajn-translyacziya-nac.html,"ЧМ-2022. 1/2 финала. Аргентина разгромила Хорватию – 3:0! Альварес сделал дубль, у Месси 1+1"
11,https://www.sports.ru//football/1114239900-penalti-ne-bylo-livakovich-ne-folil-slova-pepe-imeli-smysl-argentina-v.html,"«Пенальти не было, Ливакович не фолил. Слова Пепе имели смысл: Аргентина в фаворе». Судья-хорват Марич о полуфинале ЧМ-2022"
12,https://www.sports.ru//football/1114237797-messi-zabil-5-j-gol-na-chm-2022-i-so-mbappe-lidiruet-v-spiske-bombardi.html,Месси забил 5-й гол на ЧМ-2022 и вместе с Мбаппе лидирует в списке бомбардиров
13,https://www.sports.ru//football/1114236453-cherdanczev-o-penalti-v-vorota-xorvatii-bred-kakoj-to-napadayushhij-be.html,Черданцев о пенальти в ворота Хорватии: «Бред какой-то. Нападающий бежит и врезается во вратаря. Ливакович взлететь должен был?»
14,https://www.sports.ru//football/1114236092-messi-zabil-11-j-gol-na-chm-on-luchshij-iz-dejstvuyushhix-igrokov-do-r.html,Месси забил 11-й гол на ЧМ – он лучший из действующих игроков. До рекорда Клозе 5 мячей
15,https://www.sports.ru//football/1114236211-messi-zabil-s-penalti-za-fol-livakovicha-na-alvarese-v-matche-argentin.html,Орсато назначил пенальти за фол Ливаковича на Альваресе в матче Аргентины с Хорватией. Месси забил с точки
16,https://www.sports.ru//hockey/1114231016-verxovnaya-rada-ukrainy-vvela-sankczii-protiv-fetisova-valievoj-timosh.html,"Верховная Рада Украины ввела санкции против Фетисова, Валиевой, Тимощука, Кабаевой, Большунова, Карякина, Валуева и других спортсменов и чиновников из России"
17,https://www.sports.ru//football/1114232546-messi-povtoril-rekord-matteusa-provedya-25-matchej-na-chm-on-mozhet-po.html,"Месси повторил рекорд Маттеуса, проведя 25 матчей на ЧМ. Лео может побить его в финале или игре за 3-е место"
18,https://www.sports.ru/https://sprts.cc/QprZ8Nkmf,Только 4% игроков побеждают в полуфинале. А вы сможете? Проверьте себя в футбольной игре
19,https://www.sports.ru//basketball/1114218137-edinaya-liga-vtb-avtodor-v-gostyax-u-astany-parma-primet-minsk-czska-s.html,"Единая лига ВТБ. Дабл-дабл Шведа помог ЦСКА обыграть «Самару», «Астана» одолела «Автодор», «Парма» справилась с «Минском»"
20,https://www.sports.ru//football/1114233185-xarri-rednapp-modrich-futbolnyj-genij-snova-luchshij-igrok-turnira-kog.html,"Харри Реднапп: «Модрич – футбольный гений, снова лучший игрок ЧМ. Когда я поставил его в центр полузащиты, мне говорили: «Он и 10 минут там не протянет»"
21,https://www.sports.ru//figure-skating/1114231798-federacziya-figurnogo-kataniya-kanady-izmenila-opredelenie-dueta-v-tan.html,Федерация фигурного катания Канады изменила определение дуэта в парах и танцах на льду с «мужчины и женщины» на «фигуриста А и фигуриста Б»
22,https://www.sports.ru//football/1114231900-elisejskie-polya-mogut-zakryt-na-vremya-polufinala-mezhdu-francziej-i-.html,Елисейские Поля могут закрыть на время полуфинала между Францией и Марокко. Власти Парижа опасаются столкновений болельщиков
23,https://www.sports.ru//football/1114232594-ernan-krespo-sravnivayu-messi-i-ronaldu-s-federerom-i-nadalem-leo-i-ro.html,"Эрнан Креспо: «Сравниваю Месси и Роналду с Федерером и Надалем. Лео и Роджер на ином уровне, от их игры особые ощущения»"
24,https://www.sports.ru//chess/1114232386-glava-fshr-filatov-o-karyakine-patriotizm-prekrasnoe-kachestvo-no-za-n.html,"Глава ФШР Филатов о Карякине: «Патриотизм – прекрасное качество, но за ним не спрячешь непорядочность и корыстные интересы»"
25,https://www.sports.ru//football/1114232264-messi-modrich-paredes-lovren-talyafiko-i-gvardiol-vyjdut-v-starte-na-i.html,"Месси, Модрич, Паредес, Ловрен, Тальяфико и Перишич выйдут в старте на игру Аргентины и Хорватии"
